Time,Temp (F)
00:00:00,74
01:00:00,74
02:00:00,71
03:00:00,69
04:00:00,69
05:00:00,67
06:00:00,68
07:00:00,71
08:00:00,75
09:00:00,78
10:00:00,81
11:00:00,85
12:00:00,89
13:00:00,93
14:00:00,96
15:00:00,97
16:00:00,98
17:00:00,99
18:00:00,97
19:00:00,93
20:00:00,87
21:00:00,83
22:00:00,80
23:00:00,79
